sr,name,role,title,subtitle,talkType,kickerText,talkInfo,time,location,collection,analysis,coding,designing,narrating,strength,link,scale,xOffset,yOffset,hidden
13,Gopika,"Legal Research Associate, Enfold Proactive Health Trust",Whose Analysis is it Anyway?,The Role of AI and Humans in Data Analysis and Visualization,bof,Birds of a Feather,"Artificial Intelligence is rapidly reshaping the world of data - leading to many of us who work with data, wondering what the role of humans will look like in the future.
<br><br>
This group chat invites participants to ponder several questions together in the context of data analysis and visualization:
<br><br>
1. Which parts of the process can be outsourced to AI? <br>
2. What are the risks associated with ethics or bias, and how can we work with them? <br>
3. Is there a tradeoff between speed and nuance? <br>
4. Which parts of this are humans still necessary for? <br>
5. What is AI not good at doing? <br>
6. Is there something we will never be okay with AI doing?
<br><br>
What can you expect from this discussion?<br><br>
1. A space to exchange perspective on the extent of the current role of AI in the context of data analysis and visualization, and imagine what it could look like in the future <br>
2. A space to think together about concerns to do with the role of AI, and how they can mitigate",,,5,5,4,5,5,Designing visualizations,https://hasgeek.com/VizChitra/2025/sub/whose-analysis-is-it-anyway-the-role-of-ai-and-hum-8xVeJYL1H4dQPY1pTiPR7F,0.8,,,
14,S ANAND,LLM Psychologist @ Straive CEO @ Gramener,Prompt-to-Plot:,Crafting Visual Stories with LLMs,workshop,,"In this hands-on workshop, you'll go from zero to a live data visualization using <strong>only natural-language prompts</strong> (plus a dash of copy-&-paste). Turn raw data into a compelling narrative - all by chatting with an LLM. 
<br><br>
No coding knowledge is required (but it'll help a lot.) 
<br><br>
No API key required but you're welcome to bring your own. 
<br><br>
This will be an end-to-end workflow that designers, developers and data enthusiasts can follow verbatim.",28 June | 10:00AM - 01:00PM,"Samagata Space, Church St",5,5,5,5,5,Coding visualizations,https://hasgeek.com/VizChitra/prompt-to-plot/,,,,
15,ARVIND V,"Adjunct Professor School of Management, DSU and Srishti Manipal Institute",Dancing with the Stars:,No-Code Data Analysis & Visualisation,workshop,,"How can Bollywood / Hollywood stars, Literary Fiction heroes, and Sports champs help us understand, remember, and create all this Data, Data Viz, and Stats stuff?
<br><br>
Taking inspiration from stories, film videos, short stories, and sports, and a using point-and-click Photoshop-like software tool, we will make data and data visualizations and stats out of them.
<br><br>
We will link stars to data at first and generate several charts that represent the stories we might already know. Then, we will conjure up data (from yet another movie) and develop an intuition statistical inference procedures as well.
<br><br>
1. Throwing it All Away with Brad Pitt: Data Summaries <br>
2. Counting <s>Chickens</s> Letters with Sherlock Holmes <br>
3. Nursery Rhymes with Ben Affleck <br>
4. Being a Mermaid with Katie Ledecky <br>
5. Jack and Rose lived happily ever after <br>
6. The Art of Surprise with Gabbar Singh
<br><br>
All with #OrangeDataMining and #NoCode.",28 June | 02:30PM - 05:30PM,"Samagata Space, Church St",5,5,5,5,5,Coding visualizations,https://hasgeek.com/VizChitra/dancing-with-the-star/,,,,
16,ARUNDATHI RAJAN,"Exhibition Design, National Institute of Design, Ahmedabad",Democratising Data:,Stories using everyday objects,workshop,,"What power structures can be dismantled when the power to speak the language of data becomes accessible to everyone? The Daily Data Project is a workshop designed to engage in a discourse on creating data visualizations using everyday household objects. 
<br><br>
The workshop introduces a toolkit developed as a part of my graduation project, which acts as a vertical to simplify the visualization process. While the toolkit offers structure and encourages participants to experiment and explore freely, the key purpose of the workshop is to develop visualizations on a particular city's transport system and services. And for a city like Bangalore, the results would be quite interesting to observe.",28 June | 10:00AM - 01:00PM,"Underline Center, 2nd Floor, Indiranagar",5,5,4,5,5,Designing visualizations,https://hasgeek.com/VizChitra/democratising-data-stories/,1.75,25,85,
17,SAMARTH GULATI,Software Engineer @ Postman,The Sonic Signature:,Plotting Your Name's Audio Landscape,workshop,,"Ever wondered what the unique sound of your name looks like? In this hands-on workshop, we'll embark on an exciting journey to capture your ""sonic signature"" and translate it into a striking visual landscape.
<br><br>
We'll begin by generating the audio waveform of your name using text-to-speech. We'll then delve into audio analysis, extracting meaningful data from the audio output. This data will form the foundation for our visualization.
<br><br>
Next, we'll explore data visualization, learning how to sculpt this processed audio data into a compelling visual representation inspired by the iconic and stark aesthetic of Joy Division's album artwork. By the end of this exercise, participants will have the opportunity to plot their visual representation, and take home as a physical artwork.
",28 June | 02:30PM - 05:30PM,"Underline Center, 2nd Floor, Indiranagar",2,2,5,5,5,Coding visualizations,https://hasgeek.com/VizChitra/2025/sub/the-sonic-signature-plotting-your-names-audio-land-338GFKxc1WGoTnpQywGEMs,,,,
18,PULAHA ROY,"Senior Data Journalist, Centre for Science and Environment",Let's Get Mapping!,(QGIS),workshop,,"Of all the data visualisation forms available, maps have always fascinated me the most - it deals with data that is about us, the space we inhabit, and they just look wow. While there are many mapping softwares available, the one we will be focussing on is Quantum GIS or QGIS. Why QGIS? Because it's open source and a one-stop-solution for everything spatial.",28 June | 10:00AM - 01:00PM,"Underline Center, 3rd Floor, Indiranagar",4,4,5,5,4,Designing visualizations,https://hasgeek.com/VizChitra/lets-get-mapping-with-qgis/,,,,
19,SARATH GUTTIKUNDA and DAMMALAPATI SAI KRISHNA,"Director; Research Associate, Urban Emissions Information LLP",Chitra-Lekha:,Engaging with environmental storytelling through the lens of air pollution data,workshop,,"Schools taught us, ""We cannot see air, only feel it."" But sadly now, we don't just feel it deep inside our lungs but also see it with our red, itchy eyes. But there is more than what our irritable eye can see.
<br><br>
This session is about learning to see air using data from monitoring stations, modeling results, and satellites. Building a city's pollution storyline using visual aids, without missing the scientific rigor.",28 June | 02:30PM - 05:30PM,"Underline Center, 3rd Floor, Indiranagar",5,5,5,5,5,Narrating insights,https://hasgeek.com/VizChitra/chitra-lekha/,0.95,,,
20,Sahana Ghosh and Kartik Chandramouli,"Associate Editor, Nature India; Senior Digital Editor, Mongabay India",Lessons For Newsrooms From Data Visualisers,,bof,Birds of a Feather,"In this peer-driven session, two journalists/editors will facilitate an open conversation with participants from across the data visualisation world. The session aims to explore the intersections and friction points between newsrooms and data visualisers, unpacking both challenges and collaboration opportunities. Through guided discussion, we'll crowdsource lessons, practical strategies, and ideas that can strengthen the connection between journalism and the wider data viz community.
<br><br>
Moderators will briefly share behind-the-scenes insights into newsroom workflows, including common constraints like tight deadlines, limited design resources, and the undervaluing of visuals. Participants will be invited to reflect on questions around accessibility, trust, storytelling formats, and cross-sector collaboration. The session will also open up broader questions for those working outside journalism-touching on team structures, pay scales, ethics, audience engagement, and more.",,,4.5,3,2.5,4.5,5,Narrating insights,https://hasgeek.com/VizChitra/2025/schedule/lessons-for-newsrooms-from-data-visualisers-V7CYjPMT7cZcHVQeUPsKfE,0.8,10,0,
21,Hardik Chandrahas,"UX Designer, Nutanix",Bringing Order to Chaos:,Designing Visualizations for Enterprise,sponsored talk,Sponsored Talk,"How can data visualization drive clarity in data-heavy enterprise world?
<br><br>
In the enterprise/cloud-computing domain, data in a true sense of the word not only refers to the data generated by the system (performance metrics, alerts, read-write operations, time-values) but also the entities in the system that can vary as per their individual scale of occurrences. Visualization can enable different users to make sense of this data, and derive actionable insights.",,,4,5,4,5,5,Analyzing data,https://hasgeek.com/VizChitra/2025/sub/bringing-order-to-chaos-designing-visualizations-f-A5bmPCUNnrji6ogLxuRah3,,,,
22,Pragnya,"Engineer, Data For India",Beyond Headlines:,Understanding India Through Data,alternate,Alternative Session,"Good data on India can be hard to access and harder still to understand. The media often does not do its job of giving citizens the context about the country that they deserve. As a result, we are often left with an outsider's view of our own country.
<br><br>
We propose a physical installation that invites participants to engage with their assumptions about the country, and what good Indian data (based on articles published on Data For India) can show us. Attendees will engage physically with a series of charts/ installations by marking their estimates on a series of data points. Each installation will pose a question, inviting participants to guess, vote or mark with a sticker. Responses will be collected over the day.
<br><br>
At the end of the day we will analyze the responses and present our findings in a lightning talk. We aim to not only compare respondents' inputs with our data, but also help illuminate what good data can be, and how others can work with it. We'll also talk about our data operations and design thinking process in producing this work.",,,4,5,5,5,5,Coding visualizations,https://hasgeek.com/VizChitra/2025/sub/beyond-headlines-understanding-india-through-data-5J6iAy2yGck73DnjmsF5pr,,,25,
23,Prakriti Bakshi,"Data Journalist, The Secretariat",VizChitra Data Trail: ,"A way to connect, collect, and reflect",alternate,Alternative Session,"Conferences can be intense: Attending all kinds of sessions, finding the nerve to talk to people whose work you've fawned over, learning new things, and filling up your ""To Learn"" list. A dataviz conference full of nerds, meeting at such a scale in India for the first time is bound to be a lot (in the best way). But, it's going to go by in a blur.
<br><br>
The VizChitra Data Trail is a way to slow down without missing out. Let a postcard nudge you to observe, interact, and remember the day with simple prompts you can fill in throughout the conference.
<br><br>
Break the ice and capture the small moments with this alternative session-VizChitra's way of breaking the mould with immersive formats beyond the stage.
<br><br>
Open the last page of your conference notebooks and you'll find a way to connect, collect, and reflect with tiny activities that turn your experience into a unique visual souvenir one squiggle, stamp, and word at a time.",,,4,5,4,5,5,Narrating insights,https://hasgeek.com/VizChitra/2025/sub/vizchitra-data-trail-a-way-to-connect-collect-and-5gEeMigFWZzm6JPvS4FWKx,,,22,
24,Anushka Gokhale and Rutu Tank,"Senior Product Designer; Associate Product Designer, Parallel HQ",You Had One Job:,Chart Edition,alternate,Alternative Session,"""A designer is a cunning plotter laying his traps."" Vilem Flusser in his essay 'About the Word Design' talks about how design can be deceptive. Everything can be anything if the designer wants it to be. The line between bad design and misunderstood intent is often blurry. It's easier to appreciate and make good design once you have experienced the worst of it.
<br><br>
The project began as an in-class critique activity and evolved into a full-blown exploration of how viz can go wrong-and what that teaches us about getting it right. Asking the students to create bad data viz was easier since it made their journey into the new space less daunting.
<br><br>
We bring to you a curated collection of visualisations gone made wrong. Some are redesigned versions of otherwise great charts, intentionally made worse. Others are tongue-in-cheek visual parodies, inspired by creators like Soren Iverson who use satire to question the logic of everyday design.
<br><br>
The exhibit also features a checklist of common traps or mistakes that can be avoided, gathered from classroom conversations. And it doesn't stop there-attendees are invited to contribute! Printed or scribbled, all additions are welcome.",,,4,5,3,5,5,Narrating insights,https://hasgeek.com/VizChitra/2025/sub/you-had-one-job-chart-edition-QWa6KsEswfEMpTP9Uiy8Vh,0.75,,-4,
25,Rama Krushna Behera,"Product Designer, Razorpay",Planet Under Pressure:,Designing Tools for Environmental Storytelling,alternate,Alternative Session,"""Planet Under Pressure"" is a real-time interactive installation that brings the Earth's condition to life through immersive visuals and sound. Using a MIDI controller with knobs/ sliders, participants can adjust key human-driven environmental factors such as air pollution, water pollution, deforestation, urbanization, overpopulation, waste generation, industrial activity, and climate change accelerators. Each knob corresponds to one factor, allowing users to explore the cause-and-effect relationship between human actions and environmental degradation.
<br><br>
The installation will be built using TouchDesigner, a visual programming tool that enables real-time rendering of complex visual systems. As users turn the knobs, they witness immediate and dramatic shifts in the Earth's state-from lush and thriving to damaged and chaotic. Glowing forests may fade, oceans may darken, and atmospheric haze might thicken. These changes are reinforced by generative ambient soundscapes that shift in tone and intensity based on the planet's health, making the experience emotionally powerful and easy to grasp, even for those new to environmental topics or generative art.
<br><br>
As participants turn knobs/ sliders on the MIDI controller, they trigger environmental tipping points-watching the planet go from lush and thriving to dark, cracked, and dystopian. Through delayed feedback loops, regeneration mechanics, and audiovisual shifts, the experience makes climate data visceral and urgent.",,,3,4,5,5,3,Designing visualizations,https://hasgeek.com/VizChitra/2025/sub/planet-under-pressure-designing-tools-for-environm-Wh3axwwugE3n1YDTrtrZLt,,,30,
26,Ashok Kumar,Artist | Actor | Musician,Finding your Rhythm,Djembe Solo,alternate,Alternative Session,"This session is part interaction, part performance. It is about understanding & finding your own rhythm - when you are alone, when you are part of a group or when you are attending a conference like VizChitra 2025.
<br><br>
It starts with listening & observing your own interaction. What is the beat you are playing? Then, explore who you are within the group. How do you co-ordinate and express yourself within a group - when you are leading or following? Finally, find your own rhythm in a group. You start to understand your unique beat & pattern within groups and maybe, beyond that in life.
<br><br>
Using simple exercises like clapping & a percussion instrument - djembe, Ashok will help us all to get started on this journey",,,4,2,1,1,5,Narrating insights,https://hasgeek.com/VizChitra/2025/schedule/finding-your-rhythm-djembe-solo-LRnBwW6MscizaHr7rk8Jrv,1.5,,75,
27,Aditeya Pandey,"Senior Advisor, Head of Visual Analytics Hub, Eli Lilly and Company",Data Visualization at Lilly:,"Designing Visuals that Solve, Simplify, and See Ahead",sponsored talk,Sponsored Talk,"In today's data-rich biopharmaceutical landscape, visualization helps teams solve complex problems, simplify insights, and anticipate future outcomes. This talk explores how Lilly is applying data visualization across the R&D pipeline, from early discovery through clinical development, regulatory engagement, and beyond.
<br><br>
We will discuss the challenges of redesigning clinical study results to meet the diverse needs of stakeholders, the limitations of static graphics, and the increasing demand for custom, interactive tools that support multidimensional data exploration. As AI and machine learning become central to drug discovery, we will envision the role of visualization will play in interpreting model outputs, ensuring transparency, and fostering trust. Finally, we'll explore how generative AI will empower non-experts to create domain-relevant visualizations, unlocking new potential for efficiency and scale.
",,,5,5,5,5,5,Coding visualizations,https://hasgeek.com/VizChitra/2025/sub/data-visualization-at-lilly-designing-visuals-that-257S1oVQNmeYPqDE2gGEz7,0.8,,,
